CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,OWNSHP_CNT,PUB_SCH,SEP_SCH,PUBSEP_SCH,OTHER_SCH,UNKNWN_SCH,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,OTHER_CNT,OTHER_0_4,OTHER_5_14,OTHER_15_19,OTHER_20_24,OTHER_25_34,OTHER_35_44,OTHER_45_54,OTHER_55_64,OTHER_65_74,OTHER_75
Industrial,2,SFH,SOUTH FOOTHILLS,SOUTHEAST,N/A,EMPLOYMENT,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,DNC,DOWNTOWN COMMERCIAL CORE,CENTRE,BUILT-OUT,CENTRE CITY,2019,,8683,5679,503,342,2037,435,446,152,2608,1,0,1,5645,20,0,0,0,0,0,1,0,11,0,4387,4160,210,173,55,405,1612,821,398,367,230,116,201,191,65,470,1525,650,295,289,232,242,420,376,120,894,3179,1504,693,656,462,358,115,9,12,0,19,42,33,0,0,0,0
Industrial,2,ST3,STONEY 3,NORTHEAST,N/A,EMPLOYMENT,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,BRA,BRAESIDE,SOUTH,BUILT-OUT,1960s/1970s,2019,,5805,2562,456,1815,1433,358,171,69,529,1402,76,0,161,905,0,18,0,0,0,0,0,0,0,2842,2943,195,294,139,144,391,497,351,399,274,158,167,308,125,144,400,494,370,431,323,181,362,602,264,288,791,991,721,830,597,339,0,0,0,0,0,0,0,0,0,0,0
Residential,1,MAN,MANCHESTER,CENTRE,BUILT-OUT,EMPLOYMENT,2019,,1025,659,31,29,223,48,63,17,308,28,4,0,615,4,0,5,0,0,1,1,0,1,0,605,420,32,28,13,54,167,127,79,57,30,18,35,30,13,43,126,69,42,30,20,12,67,58,26,97,293,196,121,87,50,30,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13E,13E,SOUTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,HIW,HIGHWOOD,CENTRE,BUILT-OUT,1950s,2019,,2258,1013,91,552,534,128,56,22,273,747,79,2,19,16,0,150,0,0,0,0,0,0,0,1118,1125,49,140,49,63,170,199,145,164,83,56,63,132,60,66,177,173,141,168,67,78,112,272,109,129,347,372,286,332,150,134,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,02F,02F,NORTHWEST,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,DIS,DISCOVERY RIDGE,WEST,BUILT-OUT,2000s,2019,,4280,1669,93,1374,899,206,98,106,360,940,99,0,568,62,0,0,0,0,0,0,0,0,0,2100,2173,49,318,225,143,118,204,450,352,160,81,55,320,193,110,124,256,485,353,185,92,104,638,418,253,242,460,935,705,345,173,0,0,0,0,0,0,0,0,0,0,0
Residential,1,HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,CENTRE,BUILT-OUT,1950s,2019,,2798,1108,82,742,681,117,61,38,210,680,0,0,369,33,0,23,0,0,0,2,0,1,0,1329,1462,53,130,74,83,137,160,169,223,190,110,40,140,66,62,134,168,163,254,237,198,93,270,140,145,271,328,332,477,427,308,0,0,0,0,0,0,0,0,0,0,0
Residential,1,GLA,GLAMORGAN,WEST,BUILT-OUT,1950s,2019,,6522,3134,466,1664,1668,390,270,105,701,1137,73,43,1039,818,0,21,0,0,1,2,0,0,0,3175,3319,195,338,127,207,522,525,400,419,263,179,167,305,136,223,538,504,388,489,306,263,362,643,263,430,1060,1035,788,908,569,442,6,0,0,0,0,0,6,0,0,0,0
Residual Sub Area,4,05E,05E,NORTHEAST,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,05D,05D,NORTHEAST,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,10E,10E,NORTHEAST,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,01C,01C,WEST,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,APP,APPLEWOOD PARK,EAST,BUILT-OUT,2000s,2019,,6981,2415,546,1298,1058,488,225,67,563,1371,20,1,804,132,0,87,0,0,0,0,0,0,0,3540,3419,217,459,251,300,442,585,479,499,213,95,214,390,208,245,451,567,512,489,236,107,431,849,459,545,893,1152,991,996,449,202,8,0,0,0,0,0,0,0,8,0,0
Residential,1,BVD,BELVEDERE,EAST,BUILT-OUT,BUILDING OUT,2019,,41,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,12J,12J,SOUTHEAST,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,KSH,KEYSTONE HILLS,NORTH,DEVELOPING,BUILDING OUT,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,COV,COVENTRY HILLS,NORTH,BUILT-OUT,2000s,2019,,17667,5595,1724,4414,2827,1151,448,133,1034,5098,185,0,0,224,0,88,0,0,0,0,0,0,0,8870,8664,653,1560,696,550,1260,1653,1349,719,331,99,626,1460,553,442,1299,1748,1360,691,357,128,1286,3033,1255,992,2570,3432,2748,1424,695,227,128,7,13,6,0,11,31,39,14,7,0
Industrial,2,ST4,STONEY 4,NORTHEAST,N/A,EMPLOYMENT,2019,,0,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,03D,03D,NORTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SOC,SOUTH CALGARY,CENTRE,BUILT-OUT,INNER CITY,2019,,4442,2568,381,1048,1247,184,172,79,883,583,321,114,1061,377,0,95,0,14,1,0,1,1,0,2204,2231,158,164,66,98,583,499,296,215,93,32,168,176,55,174,633,453,237,191,100,44,326,340,121,272,1216,952,533,406,193,76,0,0,0,0,0,0,0,0,0,0,0
Major Park,3,GPK,GLENMORE PARK,SOUTH,N/A,PARKS,2019,,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,BED,BEDDINGTON HEIGHTS,NORTH,BUILT-OUT,1960s/1970s,2019,,11514,4405,944,2961,2461,849,305,115,675,2599,923,7,37,639,0,200,0,0,0,0,0,0,0,5730,5748,357,762,281,360,860,898,716,776,485,235,345,708,255,334,856,901,722,879,522,226,702,1476,536,694,1723,1799,1438,1655,1007,461,13,0,6,0,0,7,0,0,0,0,0
Residential,1,MAF,MAYFAIR,CENTRE,BUILT-OUT,1950s,2019,,432,156,6,141,93,25,8,13,17,156,0,0,0,0,0,0,0,0,0,0,0,0,0,219,213,10,29,22,11,13,19,29,53,22,11,7,30,11,10,11,21,39,45,16,23,17,59,33,21,24,40,68,98,38,34,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CLI,CLIFF BUNGALOW,CENTRE,BUILT-OUT,INNER CITY,2019,,1895,1349,15,273,563,97,137,39,509,162,18,9,946,73,0,139,0,0,0,0,0,2,0,929,942,24,26,17,74,353,198,90,69,58,20,17,29,12,92,405,192,74,56,40,25,41,55,29,166,758,390,164,125,98,45,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13G,13G,SOUTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
